Category,Count
hot dog,2918
dog,5508
potted plant,8652
tv,5805
bird,10806
cat,4768
horse,6587
sheep,9509
cow,8147
bottle,24342
couch,5779
chair,38491
dining table,15714
bicycle,7113
car,43867
motorcycle,8725
airplane,5135
bus,6069
train,4571
boat,10759
person,262465
stop sign,1983
umbrella,11431
tie,6496
sports ball,6347
sandwich,4373
bed,4192
cell phone,6434
refrigerator,2637
clock,6334
toothbrush,1954
truck,9973
traffic light,12884
fire hydrant,1865
parking meter,1285
bench,9838
elephant,5513
giraffe,5131
frisbee,2682
skis,6646
snowboard,2685
kite,9076
baseball bat,3276
baseball glove,3747
skateboard,5543
surfboard,6126
tennis racket,4812
wine glass,7913
cup,20650
fork,5479
knife,7770
spoon,6165
bowl,14358
banana,9458
apple,5851
orange,6399
broccoli,7308
carrot,7852
pizza,5821
donut,7179
cake,6353
toilet,4157
laptop,4970
mouse,2262
remote,5703
keyboard,2855
microwave,1673
oven,3334
toaster,225
sink,5610
book,24715
vase,6613
scissors,1481
teddy bear,4793
hair drier,198
backpack,8720
handbag,12354
suitcase,6192
zebra,5303
bear,1294
